NO_OF_FRAMES	6337
NO_OF_CAMERAS	6
NO_OF_MARKERS	23
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-11, 14:40:58.462	18661.47475990
DATA_INCLUDED	3D
MARKER_NAMES	right_big_toe	right_ankle	right_heel	left_big_toe	left_ankle	left_heel	right_knee	left_knee	right_hip_front	left_hip_front	right_hip_back	left_hip_back	right_shoulder	left_shoulder	right_ear	left_ear	nose	right_elbow	left_elbow	right_wrist	left_wrist	right_index_finger	left_index_finger
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	right_big_toe X	right_big_toe Y	right_big_toe Z	right_ankle X	right_ankle Y	right_ankle Z	right_heel X	right_heel Y	right_heel Z	left_big_toe X	left_big_toe Y	left_big_toe Z	left_ankle X	left_ankle Y	left_ankle Z	left_heel X	left_heel Y	left_heel Z	right_knee X	right_knee Y	right_knee Z	left_knee X	left_knee Y	left_knee Z	right_hip_front X	right_hip_front Y	right_hip_front Z	left_hip_front X	left_hip_front Y	left_hip_front Z	right_hip_back X	right_hip_back Y	right_hip_back Z	left_hip_back X	left_hip_back Y	left_hip_back Z	right_shoulder X	right_shoulder Y	right_shoulder Z	left_shoulder X	left_shoulder Y	left_shoulder Z	right_ear X	right_ear Y	right_ear Z	left_ear X	left_ear Y	left_ear Z	nose X	nose Y	nose Z	right_elbow X	right_elbow Y	right_elbow Z	left_elbow X	left_elbow Y	left_elbow Z	right_wrist X	right_wrist Y	right_wrist Z	left_wrist X	left_wrist Y	left_wrist Z	right_index_finger X	right_index_finger Y	right_index_finger Z	left_index_finger X	left_index_finger Y	left_index_finger Z	
21	0.20000	-1661.601	365.608	4.024	-1864.729	350.148	58.790	-1921.925	401.461	13.440	-1641.911	501.015	3.980	-1842.587	535.152	57.307	-1910.044	483.301	7.381	-1792.678	309.622	464.023	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.440	266.744	1474.858	-1816.288	657.564	1476.681	Nan	Nan	Nan	-1748.683	549.305	1643.697	-1632.774	444.876	1601.186	-1840.273	187.744	1110.834	-1873.405	712.395	1101.471	Nan	Nan	Nan	-1687.460	709.040	896.402	Nan	Nan	Nan	-1639.982	644.052	727.768
22	0.21000	-1661.650	365.668	3.933	-1864.687	350.129	58.684	-1921.960	401.453	13.505	-1641.911	501.015	3.979	-1842.593	535.156	57.224	-1910.088	483.224	7.385	-1792.734	309.532	464.058	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.479	266.587	1474.737	-1816.310	657.410	1476.744	Nan	Nan	Nan	-1748.610	549.272	1643.519	-1632.791	444.571	1601.504	-1840.279	187.743	1110.763	-1873.410	712.383	1101.500	Nan	Nan	Nan	-1687.456	709.041	896.402	Nan	Nan	Nan	-1639.959	643.960	727.881
23	0.22000	-1661.617	365.686	3.986	-1864.752	350.223	58.810	-1922.006	401.466	13.489	-1641.912	501.015	3.979	-1842.563	535.113	57.162	-1910.048	483.303	7.377	-1792.656	309.488	464.050	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.529	266.499	1474.714	-1816.255	657.214	1476.800	Nan	Nan	Nan	-1748.672	549.261	1643.456	-1632.815	444.181	1601.639	-1840.221	187.761	1110.680	-1873.375	712.242	1101.579	Nan	Nan	Nan	-1687.420	708.949	896.513	Nan	Nan	Nan	-1639.961	643.968	727.960
24	0.23000	-1661.581	365.694	4.003	-1864.743	350.154	58.825	-1922.018	401.519	13.485	-1641.912	501.015	3.979	-1842.558	535.111	57.244	-1910.021	483.238	7.439	-1792.642	309.478	464.088	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.571	266.351	1474.663	-1816.338	657.037	1476.871	Nan	Nan	Nan	-1748.682	549.254	1643.323	-1632.834	443.872	1601.886	-1840.212	187.697	1110.619	-1873.418	712.142	1101.678	Nan	Nan	Nan	-1687.431	708.721	896.583	Nan	Nan	Nan	-1639.983	644.079	728.006
25	0.24000	-1661.582	365.695	4.001	-1864.752	350.223	58.810	-1921.978	401.473	13.482	-1641.899	500.933	3.931	-1842.582	535.174	57.263	-1910.098	483.304	7.444	-1792.638	309.410	464.023	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.610	266.194	1474.542	-1816.307	656.892	1476.923	Nan	Nan	Nan	-1748.740	549.248	1643.293	-1632.854	443.489	1602.162	-1840.208	187.689	1110.581	-1873.389	712.171	1101.798	Nan	Nan	Nan	-1687.340	708.547	896.723	Nan	Nan	Nan	-1640.041	643.955	727.965
26	0.25000	-1661.541	365.683	3.922	-1864.688	350.128	58.683	-1921.929	401.465	13.433	-1641.912	501.015	3.979	-1842.576	535.096	57.196	-1910.013	483.259	7.397	-1792.616	309.387	464.015	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.652	266.047	1474.491	-1816.348	656.795	1477.024	Nan	Nan	Nan	-1748.811	549.242	1643.027	-1632.988	443.480	1602.310	-1840.214	187.689	1110.510	-1873.362	712.102	1101.927	Nan	Nan	Nan	-1687.344	708.409	896.756	Nan	Nan	Nan	-1640.098	643.976	728.048
27	0.26000	-1661.542	365.683	3.920	-1864.763	350.161	58.778	-1921.962	401.455	13.499	-1641.912	501.015	3.979	-1842.587	535.078	57.233	-1910.040	483.224	7.391	-1792.639	309.408	464.018	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.688	265.880	1474.299	-1816.378	656.636	1477.046	Nan	Nan	Nan	-1748.857	549.186	1642.791	-1633.007	443.241	1602.343	-1840.206	187.625	1110.448	-1873.349	712.027	1101.946	Nan	Nan	Nan	-1687.318	708.669	896.844	Nan	Nan	Nan	-1640.121	643.950	728.050
28	0.27000	-1661.539	365.654	3.959	-1864.743	350.154	58.825	-1922.000	401.424	13.473	-1641.912	501.015	3.979	-1842.564	535.114	57.237	-1910.038	483.323	7.412	-1792.639	309.408	464.018	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.652	265.742	1474.304	-1816.406	656.476	1477.072	Nan	Nan	Nan	-1748.923	549.160	1642.762	-1633.120	443.475	1602.528	-1840.197	187.562	1110.387	-1873.322	711.973	1101.977	Nan	Nan	Nan	-1687.291	708.560	896.876	Nan	Nan	Nan	-1640.098	643.849	728.084
29	0.28000	-1661.658	365.696	3.891	-1864.720	350.079	58.805	-1922.028	401.448	13.393	-1641.926	501.097	4.028	-1842.573	535.095	57.275	-1910.007	483.255	7.480	-1792.620	309.331	463.992	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.702	265.604	1474.258	-1816.450	656.388	1477.074	Nan	Nan	Nan	-1748.988	549.145	1642.666	-1633.209	443.227	1602.564	-1840.258	187.535	1110.362	-1873.327	711.961	1102.006	Nan	Nan	Nan	-1687.266	708.284	896.784	Nan	Nan	Nan	-1640.125	643.949	728.050
30	0.29000	-1661.659	365.756	3.844	-1864.679	350.059	58.697	-1922.002	401.426	13.470	-1641.913	501.015	3.979	-1842.575	535.095	57.273	-1910.016	483.260	7.394	-1792.609	309.264	464.005	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.801	265.428	1474.211	-1816.570	656.342	1477.089	Nan	Nan	Nan	-1749.096	549.036	1642.671	-1633.387	443.532	1602.679	-1840.245	187.464	1110.263	-1873.300	711.907	1102.037	Nan	Nan	Nan	-1687.254	708.301	896.864	Nan	Nan	Nan	-1640.049	643.835	728.080
